chroma_stft,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,English Type
0.5039258,2863.5285111662943,3068.590795117142,5091.295973645347,0.07522281491359673,-330.4975,-0.056311402,-0.013051578,129.82634,0.00056543987,-0.0010875432,-4.9719543,0.031983934,0.0017479949,31.724367,-0.0036376321,-0.002416694,8.563404,0.0118621625,0.0014660903,18.431335,-0.0018143954,-0.001588955,0.2632301,-0.00045891933,0.002927105,7.124795,0.006677387,0.0017766888,-4.7353163,0.008375406,-6.156791e-05,-2.9357169,0.0091880085,-0.0024616076,-2.7523448,-0.0018215013,0.0009363368,-4.55867,0.0061589954,0.003925575,-0.38920975,0.0015026412,0.0024808862,1
0.38730302,2366.0062569963534,2395.2895881242425,4699.281629383992,0.06528302981197807,-322.01425,-0.003602875,-0.024239035,128.47772,-0.006527488,-0.009426854,-19.397339,-2.8091845e-05,0.0065024747,38.388363,0.008434239,-0.004007874,12.026597,0.0049975705,-0.000959434,1.7824545,0.00083319726,-0.0011445042,-10.540126,-0.0014882495,-0.0032091332,-14.441416,-0.0038384865,-0.0009907887,5.7299123,-0.004926532,0.0009703459,-12.846179,-0.0017364348,0.0038271735,-1.5440177,0.0076764347,0.0007934333,-1.401703,0.0056443154,-0.0005167238,-5.7079053,-0.0029983139,0.00013793916,0
0.44785538,4385.587175076647,3884.8444587349586,8003.728725276349,0.136614946312229,-340.64084,-0.011160149,-0.011943238,97.2581,-0.0048363316,-0.0064525106,-5.41628,-0.008388211,0.0019986408,21.495487,-0.0019603258,0.00090529496,-0.07498132,0.01035678,0.002777697,8.090102,-0.0015424775,0.0018238199,-25.803772,0.0012136508,-0.0032062356,3.5462244,0.0012067852,-0.0020080293,-15.321304,0.0030185478,0.0034698206,-7.433472,-0.002935679,0.0049242196,-10.403498,-0.0064319656,0.00066930754,0.85045475,-0.00066291186,-0.0013586204,-11.889046,-0.0016939061,0.0001692394,0
0.48621556,2358.214723862129,2081.928649429829,4239.875408178049,0.07284430082066114,-377.72028,2.1767175e-08,-6.46213e-09,140.99352,3.265076e-08,-5.9519616e-09,-15.099728,-1.0203363e-09,1.3604484e-09,19.818373,-2.7208968e-09,0.0,13.302054,-1.3604484e-09,-6.802242e-10,-13.417158,-2.7208968e-09,-1.3604484e-09,6.8000264,2.7208968e-09,-1.3604484e-09,-7.2082295,-6.802242e-10,8.5028024e-10,-13.446884,-1.3604484e-09,-2.8059248e-09,1.4493235,2.0406725e-09,2.4658127e-09,-4.4188166,0.0,-2.3807847e-09,-4.824514,-3.401121e-10,1.0203363e-09,-3.2095692,0.0,1.2116493e-09,0
0.4703064,2690.4094904457784,3108.1926755288014,5306.686114036174,0.0485854520202531,-330.79733,-0.009279275,0.0036267922,98.38888,0.0028092542,0.0026563446,-2.8005104,0.0072616986,0.0015598431,30.394365,-0.002005716,0.0017763193,5.2835746,0.0035443641,0.0016586242,15.664666,0.0010244461,0.0021207712,-4.023651,0.0019166642,-0.0013616406,0.13046159,0.0010602543,0.0011381808,2.9021187,-0.0002000202,-0.00021892757,-0.3239402,0.0012599238,-0.00076999917,-0.26878843,-0.0021904367,0.001166201,-1.1800197,-0.0006167702,-0.001668033,0.37946823,-0.0031156167,0.0021925138,0
0.5027808,2113.692293537125,2087.1607793601856,3698.078112451239,0.05845094225543973,-371.93057,-0.056145035,0.0078527285,137.47597,-0.054399762,0.006607014,-4.589195,-0.011952961,-0.00060970295,17.578533,0.0021897291,-0.0020723497,33.742058,-0.0072188517,0.0006105625,-0.078367405,-0.010783092,0.0017399887,5.845764,-0.004996042,0.0013955001,12.716509,-0.0028171162,0.0020677194,1.5640515,-0.00420953,0.002475601,3.5612228,-0.0026275748,0.0008282875,-0.4775171,-0.001216347,-0.0008253943,-5.080238,-0.005132317,-6.253591e-05,1.9876837,-0.009493766,0.001645535,0
0.46276873,3087.2181339813437,2766.3210480787066,5394.368595478204,0.09706090286906348,-359.76016,-0.00228723,-0.0011696737,130.56427,-0.0016595845,-0.0010892965,-37.960854,0.0014942569,-7.960233e-05,23.893644,0.0030814365,0.00028967237,2.083213,0.0015953575,-0.00014612623,20.021906,-0.001238903,-0.0007871083,-7.256251,-0.0023366474,-0.001047154,-1.1618689,-0.000620309,-0.0006030352,4.118715,0.001924812,0.00037966258,-12.742701,0.002560739,0.0010443705,1.906533,0.0006791427,0.00064364175,-2.650938,-0.0017551498,-0.0003897787,-10.952002,-0.002302882,-0.0009224153,1
0.36627033,3266.515272329565,3278.0853353328,5633.028558128239,0.09318622637804196,-385.75946,0.06682059,0.026157433,95.55924,0.05269417,0.016260477,-8.385813,0.0067397216,-0.0043124505,4.225874,0.0050759474,-0.002141559,-7.0319448,0.0049644946,-0.0005204178,4.3018665,-0.0014454654,-0.002250639,-10.242984,0.00070928095,9.941834e-05,2.9042776,0.0013425956,0.000418567,-11.480298,8.090349e-05,-0.0013777354,-4.240418,0.0049561234,-0.00011806184,-14.277966,0.0045114066,-0.0009566831,-8.648454,0.0014625961,-0.0017660792,-8.646375,0.001075331,-0.0012672081,1
0.4010948,2541.739821183928,2462.851585018187,4238.7291348556355,0.08238727288064956,-244.74448,-0.01615089,-0.01033115,139.98633,-0.006221384,-0.0025042973,-29.677485,0.028117012,0.0018092748,25.826313,0.012521816,-0.0005291677,28.544205,-0.018463355,0.0022578486,10.904504,-0.0017630128,-0.0017235556,-30.239862,0.0023679675,0.00053317647,-0.9905856,-0.002049194,1.4650895e-05,12.348718,0.002439848,-0.0005426951,-8.171304,0.0027645766,0.0010703222,-7.752608,0.003330487,-0.0015384716,-3.2082112,-0.0024257423,-5.020227e-05,0.5557726,-0.002326226,0.0004787989,0
0.35511306,3325.807169644646,2365.0222121455467,5470.978224734043,0.1193226226660877,-255.5697,-0.00065907766,-0.014593947,104.02578,0.008690581,-0.011516499,-16.002926,0.012025778,-0.0028703052,54.760754,0.00096210605,-0.00055060576,-22.898062,-0.003392008,0.0034386031,9.428746,-0.007924222,-0.0009995538,21.322578,-0.008578927,-0.0026946426,-21.954588,0.00014831984,0.0028217284,-2.6895077,0.0014454734,0.0014369667,-6.0195303,0.0026681686,0.002225931,-4.5184293,0.008041116,0.0030933572,5.6631246,0.004308482,-0.00357619,-9.722394,0.0009447753,-0.004126134,0
0.4143873,2922.54112525592,3210.4775144737396,5183.714150116823,0.07190771186979465,-350.31454,3.4139757e-05,-5.575162e-06,107.66652,4.8234888e-05,-7.876815e-06,21.71281,4.821207e-05,-7.904623e-06,46.631683,4.8182123e-05,-7.929935e-06,25.604147,4.809513e-05,-7.976639e-06,22.953585,4.802811e-05,-8.035642e-06,-9.789416,4.792864e-05,-8.109262e-06,2.9482248,4.7813486e-05,-8.189745e-06,-12.530228,4.767516e-05,-8.285379e-06,-3.0454106,4.752792e-05,-8.392691e-06,-0.6870489,4.7355723e-05,-8.516758e-06,-11.986376,4.716891e-05,-8.648132e-06,-3.9519408,4.6969973e-05,-8.792164e-06,0
0.52791435,3336.466473469741,3013.7071618537884,6015.5383802440065,0.07742498369210697,-403.58313,-4.4865617e-05,0.00021550053,79.52593,-6.328217e-05,0.00030450113,-16.079313,-6.296863e-05,0.00030369862,47.038933,-6.24722e-05,0.00030238146,14.800734,-6.1769075e-05,0.00030054155,14.466498,-6.087419e-05,0.0002981795,5.609375,-5.9768878e-05,0.00029530452,-3.4054847,-5.8483005e-05,0.00029192466,-1.6777807,-5.70119e-05,0.0002880387,12.040278,-5.5353237e-05,0.00028365676,5.448745,-5.351494e-05,0.00027879752,1.233494,-5.1510546e-05,0.0002734617,-3.1104584,-4.9336315e-05,0.00026767407,0
0.47316787,3500.0045273278815,4176.146947175257,7706.201256061422,0.07177268225297782,-375.55426,-0.017572986,0.0043477463,102.4994,-0.007815576,0.007824936,26.04124,-0.0055470592,0.0010137153,38.471237,-0.0058619697,0.00040202634,25.910578,-0.00389842,0.00078210916,17.772985,-0.0032917846,0.0026275986,-3.7993574,-0.00084500806,0.0016945554,6.4935074,-0.0012265872,0.0005314345,-7.35987,0.00022887746,-0.00057107286,-0.714502,-0.001099917,-0.0008039141,-3.8536732,0.00050413195,-0.0012321961,-1.5818247,0.00050516403,-0.00020571693,-0.72660685,0.00049921783,0.00065449195,0
0.39827535,3324.3577310003775,3498.517931759853,6590.389347917748,0.08438262452533339,-423.4437,-0.0056152223,-0.0057285326,103.47481,-0.0027927225,-0.004869324,-2.1198127,0.0030400723,0.00026232397,10.469705,0.0016280777,0.0012996075,0.3726217,-0.00080616213,-0.00039608873,-0.4006564,-0.0016278636,-0.00076589227,-21.105555,-0.0022304223,-4.6334615e-05,-22.0173,-0.0015058117,-0.00025981173,-8.9298525,-0.00056995155,-0.0008756269,-12.72232,-0.00028956315,-0.0008960796,-12.88854,0.00027052974,-0.0010253941,-10.370593,5.9279988e-05,-0.0013466161,-12.668331,-0.00089537347,-0.0009141244,0
0.4230857,2494.4824125175446,2922.2430524826023,4692.3837977131525,0.06508010159444355,-339.63794,-0.014077431,-0.0040328577,134.51329,-0.007874526,-0.0047958675,16.79068,0.0051901718,-0.0012193812,31.175812,0.002243624,0.0021672165,9.424546,-0.002168434,0.0012231425,21.531239,-0.0028865037,0.0009994627,-11.144754,-0.0006751193,0.0027578408,-15.677031,0.0032372484,0.0015892084,-8.757024,0.002535327,0.0011220315,-9.623309,-0.00032113012,0.0013191318,-0.13199331,-0.0019436528,0.00039406837,-7.336041,-0.0034884787,0.0015940319,0.072995946,-0.0014526389,0.001766153,0
0.37463441,3234.834330081711,2855.2553730666095,5505.82318525011,0.09976929641114396,-349.3634,0.024831718,0.0021112075,100.099724,0.0003656549,0.004469853,-11.6508,-0.0030186032,-0.0038225031,21.629623,0.0020707033,0.0018612175,5.586961,-0.0045159413,0.0007674635,9.918566,0.0010264214,-3.8448156e-06,-19.592342,-0.003972517,0.0017621043,-2.2703798,0.006362744,0.003364211,-9.752678,-0.0049792826,0.001080506,-4.356855,-0.00435199,-0.0031341366,5.73752,0.00030227643,0.00017056016,-7.636206,-0.0054961876,-0.0034778062,-3.3283749,-0.0020804899,0.0008347123,0
0.4498252,2853.4061177884764,3205.0591496550405,5662.1044921875,0.06990599876314162,-389.0739,-0.0023822405,0.018666282,131.0976,-0.0069238967,0.018555626,7.6326013,-1.8235409e-05,0.0065298155,33.981766,0.0040905033,0.001804853,12.101696,0.00068656955,0.002391631,19.414587,0.001989145,0.0012292002,-8.820062,0.0020287302,-0.001370131,-8.171938,0.0044257194,-0.0015432116,-3.0206277,0.0025440594,-0.0011468618,-0.4875463,0.0011318044,-0.0018084751,-2.8422005,0.00039609108,-0.001787203,-4.6772065,0.0003100416,-0.0015525476,-2.636637,-0.0008338602,-0.0013794256,1
0.36638257,3507.571438384435,2892.9577560952566,5598.232085129311,0.13715607534748986,-408.4222,0.015183923,0.0055476036,131.92111,0.0102409525,0.004612972,-9.929261,-0.011086074,-0.0050346125,-7.703935,-0.01941891,-0.0073597375,13.56554,-0.008613803,-0.004203991,-8.3123045,0.008736051,0.003796615,-10.762463,0.015467374,0.0056398627,-4.0178156,0.007041353,0.0033100063,-0.49693045,-0.0070714597,-0.0029655634,-4.2327156,-0.01156951,-0.0044911318,-12.041292,-0.0037971453,-0.0024749648,-5.480799,0.005866501,0.0020227842,-1.1084529,0.005796195,0.0025907082,1
