chroma_stft,spectral_centroid,spectral_bandwidth,rolloff,mfcc,zero_crossing_rate,English Type
0.35120782,3487.3958195887026,3665.2462996162203,6548.753519590736,-16.10573,0.0858256500569771,0
0.51838076,4489.9764343555225,4567.835538239479,9700.060392680922,-9.443089,0.08195203752822289,0
0.3985077,3484.8860378070426,2659.1981677438735,5587.160014490927,-16.786263,0.12334155024016774,0
0.4044561,3368.354309927282,3496.1160699381703,6045.886857065411,-12.001881,0.09911135683677781,1
0.40244398,1560.9720923025468,1770.1634730952348,2994.1051811484617,-13.093399,0.04095071142871252,1
0.3758354,3223.901004493903,2308.762793876624,5376.092777041052,-20.186192,0.12286382484816102,1
0.49145022,1733.361856704334,1894.3006320509096,3352.7539812465716,-6.262402,0.05032610520895138,0
0.39777464,1621.0226067783908,1846.2624543948511,3076.1366684549357,-9.349281,0.047886928416256025,0
0.4838614,4061.2803504965177,3278.712286453676,6952.141739248776,-10.896456,0.13205172833059914,1
0.4169472,1648.989400342396,1810.6604154243025,3048.3597767503957,-14.076479,0.05049439667367851,0
0.36238056,4147.046009720191,3850.6060590291895,7955.325831315201,-19.999317,0.11594200057900292,0
0.4068327,2714.1756442516917,2897.477687545917,4751.220771575642,-17.364704,0.07629128785470576,0
0.35357255,2478.1531445925916,3001.159863009085,4688.385348605353,-17.405561,0.06242627933172789,0
0.49756727,1455.0838501738813,1839.840748690465,2904.9541404995653,-11.41741,0.03924101511088781,0
0.4173955,2889.097323772429,3038.0997110102103,5422.1551779270785,-7.79629,0.07161968851880836,0
0.43611902,3541.8377094455295,2436.1613378725424,6020.1605474911275,-19.76312,0.10836930215479111,0
0.37366936,1602.60772586093,2494.852695451488,2833.6694893920944,-5.425042,0.03070783302705371,0
0.45708355,2237.231030314215,3406.831124086922,4276.989822729821,-3.4873142,0.037941754878334,0
0.4578777,2036.3085626207633,1956.4133071575936,3700.341796875,-10.048518,0.07221697749394543,0
0.5407004,3197.6581789989045,3562.3457155466967,6399.058413461538,-7.044919,0.0661844758416187,1
0.36784005,2204.5040323973885,2237.008860929391,4086.1941453887193,-18.063349,0.06781061940842927,0
0.51591235,3660.2680480225263,3395.377465508472,6768.094891808568,-6.2841525,0.08723918400591757,1
0.44022977,2479.8955921171323,1928.8617184586585,4068.4176695086917,-8.607036,0.085680492585956,0
0.35139337,2852.7650211677487,2347.7358592651494,5324.983452158031,-11.2190075,0.1645194659396175,0
0.4719782,2873.774395623109,3169.212686882806,5542.804994541485,-7.5318475,0.060278163251160304,1
0.5068806,1191.0253820273667,1539.047200461382,2357.3070679172974,-4.8160644,0.029388321566325246,0
0.58956796,2524.076502839102,2777.226482007853,4661.980261562096,-3.481974,0.05265185850105458,0
0.4463945,1607.2533026407343,1733.1236362048326,3133.7233398005965,-9.16394,0.04976481563313202,0
0.43739566,2103.820345301274,2094.771429898257,3740.2700114277786,-15.705294,0.06252805148818823,0
0.40443054,2736.321084354839,2757.2643277678176,4831.3857685252515,-15.528589,0.07851062018320461,0
